university	name	paper_count	affiliation_status	affiliations	topics	paper_ids	paper_titles	paper_years
UMA	Óscar Pons	1	confirmed		Architecture; Artificial intelligence; Behavior-based robotics; Computer science; Episodic memory; Human–computer interaction; Process (computing); Robot; Software	W4413206531	Building a Self-Explanatory Social Robot on the Basis of an Explanation-Oriented Runtime Knowledge Model	2025
UMA	Jorge Chauca García	1	confirmed		Denunciation; Dystopia; Face (sociological concept); Internet privacy; Political science; Politics; Relation (database); Sociology; Task (project management); The Internet	W4213221688	Social Behaviour and Artificial Intelligence	2022
UMA	Felix Villalba-Romero	1	confirmed		Business; Corporate social responsibility; Engineering ethics; Environmental ethics; Social responsibility; Sociology	W4409249898	Ethical and Corporate Social Responsibility	2025
UMA	Loli Burgueño	1	confirmed		Computer science; Data science; Diagrammatic reasoning; Domain (mathematical analysis); Engineering ethics; Generative grammar; Inclusion (mineral); Knowledge management; Management science; Software	W4417250728	Mind the Ethics! The Overlooked Ethical Dimensions of GenAI in Software Modeling Education	2025
UMA	Nathalie Moreno	1	confirmed		Computer science; Data science; Diagrammatic reasoning; Domain (mathematical analysis); Engineering ethics; Generative grammar; Inclusion (mineral); Knowledge management; Management science; Software	W4417250728	Mind the Ethics! The Overlooked Ethical Dimensions of GenAI in Software Modeling Education	2025
UMA	Javier Troya	1	confirmed		Computer science; Data science; Diagrammatic reasoning; Domain (mathematical analysis); Engineering ethics; Generative grammar; Inclusion (mineral); Knowledge management; Management science; Software	W4417250728	Mind the Ethics! The Overlooked Ethical Dimensions of GenAI in Software Modeling Education	2025
UMA	Paula Muñoz	1	confirmed		Computer science; Data science; Diagrammatic reasoning; Domain (mathematical analysis); Engineering ethics; Generative grammar; Inclusion (mineral); Knowledge management; Management science; Software	W4417250728	Mind the Ethics! The Overlooked Ethical Dimensions of GenAI in Software Modeling Education	2025
UMA	José Antonio Montenegro	1	confirmed		Business; Citizen science; Collaborative governance; Computer science; Corporate governance; Data quality; Empowerment; Knowledge management; Political science; Quality (philosophy)	W4391542026	EventGeoScout: Fostering Citizen Empowerment and Augmenting Data Quality through Collaborative Geographic Information Governance and Optimization	2024
UMA	Antonio Muñoz	1	confirmed		Business; Citizen science; Collaborative governance; Computer science; Corporate governance; Data quality; Empowerment; Knowledge management; Political science; Quality (philosophy)	W4391542026	EventGeoScout: Fostering Citizen Empowerment and Augmenting Data Quality through Collaborative Geographic Information Governance and Optimization	2024
UMA	José Ángel Morell	1	confirmed		Artificial intelligence; Computer science; Convolutional neural network; Distributed computing; MNIST database; Machine learning; Overhead (engineering); Reduction (mathematics); Set (abstract data type); Task (project management)	W4392133813	A multi-objective approach for communication reduction in federated learning under devices heterogeneity constraints	2024
UMA	Francisco Chicano	1	confirmed		Artificial intelligence; Computer science; Convolutional neural network; Distributed computing; MNIST database; Machine learning; Overhead (engineering); Reduction (mathematics); Set (abstract data type); Task (project management)	W4392133813	A multi-objective approach for communication reduction in federated learning under devices heterogeneity constraints	2024
UMA	Gabriel Luque	1	confirmed		Artificial intelligence; Computer science; Convolutional neural network; Distributed computing; MNIST database; Machine learning; Overhead (engineering); Reduction (mathematics); Set (abstract data type); Task (project management)	W4392133813	A multi-objective approach for communication reduction in federated learning under devices heterogeneity constraints	2024
UMA	Enrique Alba	1	confirmed		Artificial intelligence; Computer science; Convolutional neural network; Distributed computing; MNIST database; Machine learning; Overhead (engineering); Reduction (mathematics); Set (abstract data type); Task (project management)	W4392133813	A multi-objective approach for communication reduction in federated learning under devices heterogeneity constraints	2024
UMA	Javad Rahebi	1	confirmed		Algorithm; Artificial intelligence; Block (permutation group theory); Blockchain; Computer science; Confidentiality; Data center; Machine learning; Medical record; Reliability (semiconductor)	W4210632374	Patient privacy in smart cities by blockchain technology and feature selection with Harris Hawks Optimization (HHO) algorithm and machine learning	2022
UMA	MARIA LUZ BORT CABALLERO	1	confirmed		Adaptation (eye); Context (archaeology); Expression (computer science); Mathematics education; Narrative; Pedagogy; Psychology; Qualitative research; Reading (process); Reading comprehension	W7133136978	Reading and writing in university teacher training: strategies for comprehension, written expression and the responsible use of technology	2026
UMA	Javier García González	1	confirmed		Applications of artificial intelligence; Artificial intelligence; Artificial life; Artificial neural network; Automation; Computer science; Deep learning; Machine learning; Neuroinformatics; Robotics	W4385383529	Computational approaches to Explainable Artificial Intelligence: Advances in theory, applications and trends	2023
UMA	Ana León-Gómez	1	confirmed	Universidad de Málaga	Computer science; Curriculum; Educational technology; Internship; Knowledge management; Perception; Professional development; Psychology	W4413806993	University students’ perceptions of the impact of artificial intelligence in the business sector on their educational and professional development	2025
UMA	V. Muñoz	1	confirmed	Universidad de Málaga	Computer science; Curriculum; Educational technology; Internship; Knowledge management; Perception; Professional development; Psychology	W4413806993	University students’ perceptions of the impact of artificial intelligence in the business sector on their educational and professional development	2025
USPN	Brigitte Séroussi	4	confirmed	Agence Parisienne du Climat; Assistance Publique – Hôpitaux de Paris; Hôpital Tenon; Inserm; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Sorbonne Université; Université Paris Cité; Université Sorbonne Paris Nord	Artificial intelligence; Big data; Case-based reasoning; Class (philosophy); Computer science; Confidentiality; Data mining; Data science; Domain (mathematical analysis); Health Administration Informatics; Health Insurance Portability and Accountability Act; Health care; Health informatics; Informatics; Information retrieval; Internet privacy; Interpretability; Knowledge management; Machine learning; Pattern recognition (psychology); Political science; Process (computing); Set (abstract data type); Transparency (behavior); Visual reasoning; Visualization; Yearbook	W3081510761; W2967002964; W2910890213; W4401822498	Transparency of Health Informatics Processes as the Condition of Healthcare Professionals’ and Patients’ Trust and Adoption: the Rise of Ethical Requirements; Artificial Intelligence in Health Informatics: Hype or Reality?; Explainable artificial intelligence for breast cancer: A visual case-based reasoning approach; Exploring Explainable AI Techniques for Text Classification in Healthcare: A Scoping Review	2020; 2019; 2019; 2024
USPN	Aomar Osmani	3	confirmed		Activity recognition; Artificial intelligence; Class (philosophy); Cluster analysis; Cohesion (chemistry); Computer science; Context (archaeology); Dimension (graph theory); Duration (music); Event (particle physics); Hierarchical clustering; Hyperparameter; Machine learning; Perspective (graphical); Process (computing); Software deployment; Space (punctuation); Speech recognition; Wireless sensor network	W4283790509; W3211238343; W4225264497	Clustering Approach to Solve Hierarchical Classification Problem Complexity; Human Activity Recognition: A Dynamic Inductive Bias Selection Perspective; Multimodal Evaluation Method for Sound Event Detection	2022; 2021; 2022
USPN	Philippe Ravaud	2	confirmed		Adverse effect; Applied psychology; Computer science; Credibility; Data science; Field (mathematics); Health care; Medical education; Medicine; Observational study; Pharmacovigilance; Psychological intervention; Psychology; Qualitative research; Risk analysis (engineering); Software deployment; Thematic analysis; Trustworthiness	W4403048071; W4414494722	Algorithmovigilance, lessons from pharmacovigilance; Factors influencing the trustworthiness of non-randomized studies of interventions: a survey of international experts	2024; 2025
USPN	Cédric Bousquet	2	confirmed		Artificial intelligence; Black box; Computer science; Data science; Ethical issues; Function (biology); Health informatics; Informatics; Theme (computing); Value (mathematics)	W4283716294; W4281486759	Ethical Issues in the Utilization of Black Boxes for Artificial Intelligence in Medicine; Machine Learning in Medicine: To Explain, or Not to Explain, That Is the Question	2022; 2022
USPN	Jacques Bouaud	1	confirmed	Assistance Publique – Hôpitaux de Paris; Inserm; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Sorbonne Université; Université Paris Cité; Université Sorbonne Paris Nord	Artificial intelligence; Case-based reasoning; Class (philosophy); Computer science; Data mining; Data science; Domain (mathematical analysis); Health care; Information retrieval; Interpretability; Knowledge management; Machine learning; Pattern recognition (psychology); Process (computing); Set (abstract data type); Transparency (behavior); Visual reasoning; Visualization	W2910890213	Explainable artificial intelligence for breast cancer: A visual case-based reasoning approach	2019
USPN	Louenas Bounia	1	confirmed	Laboratoire d'Informatique de Paris-Nord; Université Sorbonne Paris Nord	Algorithm; Alternating decision tree; Artificial intelligence; Artificial neural network; Classifier (UML); Cluster analysis; Computational complexity theory; Computer science; Data mining; Decision problem; Decision tree; Decision tree learning; Decision tree model; Greedy algorithm; Greedy randomized adaptive search procedure; Heuristic; Identification (biology); Key (lock); Machine learning; Mathematical optimization; Mathematics; Relevance (law); Sleep (system call); Sleep Stages; Task (project management); Theoretical computer science; Time complexity; Tree (set theory)	W4415143672	Explainable Analysis of Patient Profiles with Sleep Disorders: Clustering Approach and Identification of Key Factors	2025
USPN	Davide Buscaldi	1	confirmed		Engineering ethics; Political science; Psychology	W4409459278	Implementing ethical principles in AI: an initial discussion	2025
USPN	Alan Balendran	1	confirmed		Adverse effect; Computer science; Data science; Health care; Medicine; Pharmacovigilance; Risk analysis (engineering); Software deployment	W4403048071	Algorithmovigilance, lessons from pharmacovigilance	2024
USPN	Mehdi Benchoufi	1	confirmed		Adverse effect; Computer science; Data science; Health care; Medicine; Pharmacovigilance; Risk analysis (engineering); Software deployment	W4403048071	Algorithmovigilance, lessons from pharmacovigilance	2024
USPN	Eugénia Lamas	1	confirmed		Artificial intelligence; Black box; Computer science; Data science; Ethical issues; Function (biology)	W4283716294	Ethical Issues in the Utilization of Black Boxes for Artificial Intelligence in Medicine	2022
USPN	Kristina Matrosova	1	confirmed		Active listening; Affect (linguistics); Artificial intelligence; Computer science; Information retrieval; Machine learning; Recommender system; Robustness (evolution)	W4403219726	Do Recommender Systems Promote Local Music? A Reproducibility Study Using Music Streaming Data	2024
USPN	Olivier Bodini	1	confirmed		Active listening; Affect (linguistics); Artificial intelligence; Computer science; Information retrieval; Machine learning; Recommender system; Robustness (evolution)	W4403219726	Do Recommender Systems Promote Local Music? A Reproducibility Study Using Music Streaming Data	2024
USPN	François Moreau	1	confirmed		Business; Computer science	W4396788685	A geographical bias in a music streaming market	2024
USPN	Muhammad Ashraf	1	confirmed		Artificial intelligence; Classifier (UML); Computer science; Crash; Ensemble learning; Feature selection; Machine learning; Majority rule; Random forest; Support vector machine	W4376126986	A novel one-vs-rest consensus learning method for crash severity prediction	2023
USPN	Christel Daniel	1	confirmed		Best practice; Computer science; Data mining; Data science; Field (mathematics); Health informatics; Informatics; Information retrieval; Pharmacovigilance; Scope (computer science)	W3080524808	Clinical Research Informatics	2020
USPN	Section Editors for the IMIA Yearbook Section on Clinical Research Informatics	1	confirmed		Best practice; Computer science; Data mining; Data science; Field (mathematics); Health informatics; Informatics; Information retrieval; Pharmacovigilance; Scope (computer science)	W3080524808	Clinical Research Informatics	2020
USPN	Rushed Kanawati	1	confirmed	Sorbonne Université; Université Sorbonne Paris Nord	Agriculture; Computer science; Data mining; Data science; Data stream mining; STREAMS	W4286774193	Gaia-AgStream: An Explainable AI Platform for Mining Complex Data Streams in Agriculture	2021
USPN	Ibrahim Alaa eddine Madi	1	confirmed	Inserm; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Sorbonne Université; Université Sorbonne Paris Nord	Artificial intelligence; Computer science; Data science; Domain (mathematical analysis); Health care; Interpretability; Knowledge management; Process (computing); Transparency (behavior)	W4401822498	Exploring Explainable AI Techniques for Text Classification in Healthcare: A Scoping Review	2024
USPN	Akram Redjdal	1	confirmed	Inserm; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Sorbonne Université; Université Sorbonne Paris Nord	Artificial intelligence; Computer science; Data science; Domain (mathematical analysis); Health care; Interpretability; Knowledge management; Process (computing); Transparency (behavior)	W4401822498	Exploring Explainable AI Techniques for Text Classification in Healthcare: A Scoping Review	2024
UT	Kozeta Sevrani	4	confirmed		Affect (linguistics); Artificial intelligence; Blueprint; Business; Computer science; Data collection; Data mining; Data science; Emerging markets; Emerging technologies; Empirical evidence; Hospitality; Hospitality industry; Image (mathematics); Knowledge management; Marketing; Operationalization; Pipeline (software); Process (computing); Relevance (law); Resource (disambiguation); Service provider; Sharing economy; Survey data collection; Technology acceptance model; Tourism	W7128440946; W7117989499; W4417026910; W4415268218	A Technological Blueprint for Smart and AI-Driven Hospitality in Emerging Tourism Markets: Evidence from Albania; Guest Acceptance of Smart and AI-Enabled Hotel Services in an Emerging Market: Evidence from Albania; Guest Acceptance of Smart and AI Technologies in Hospitality: Evidence from Behavioral and Financial Intentions in an Emerging Market (Albania); From Ultrasound Image Collection to De-identification and Re-identification: A Practical Pipeline	2026; 2026; 2025; 2025
UT	Anxhela Ferhataj	3	confirmed		Artificial intelligence; Business; Computer science; Corporate governance; Engineering; Engineering ethics; Generalizability theory; Industry 4.0; Knowledge management; Law; Perception; Perspective (graphical); Political science; Psychology; Robotics; Sociology; Tourism; Transparency (behavior); Workforce	W4406245123; W4411665163; W4405913001	Ethical concerns in AI development: analyzing students’ perspectives on robotics and society; Shaping the Future Workforce: Students' Perceptions on AI and Human-Centric Technologies in Industry 5.0; CHALLANGES AND OPPORTUNITIES OF AI IMPLEMENTATION IN TOURISM: AN ETHICAL AND TECHNOLOGICAL PERSPECTIVE	2025; 2025; 2024
UT	Fatmir Memaj	3	confirmed		Artificial intelligence; Business; Computer science; Corporate governance; Engineering; Engineering ethics; Generalizability theory; Industry 4.0; Knowledge management; Law; Perception; Perspective (graphical); Political science; Psychology; Robotics; Sociology; Tourism; Transparency (behavior); Workforce	W4406245123; W4411665163; W4405913001	Ethical concerns in AI development: analyzing students’ perspectives on robotics and society; Shaping the Future Workforce: Students' Perceptions on AI and Human-Centric Technologies in Industry 5.0; CHALLANGES AND OPPORTUNITIES OF AI IMPLEMENTATION IN TOURISM: AN ETHICAL AND TECHNOLOGICAL PERSPECTIVE	2025; 2025; 2024
UT	Majlinda Godolja	3	confirmed		Affect (linguistics); Blueprint; Business; Emerging markets; Emerging technologies; Empirical evidence; Hospitality; Hospitality industry; Knowledge management; Marketing; Operationalization; Service provider; Sharing economy; Survey data collection; Technology acceptance model; Tourism	W7128440946; W7117989499; W4417026910	A Technological Blueprint for Smart and AI-Driven Hospitality in Emerging Tourism Markets: Evidence from Albania; Guest Acceptance of Smart and AI-Enabled Hotel Services in an Emerging Market: Evidence from Albania; Guest Acceptance of Smart and AI Technologies in Hospitality: Evidence from Behavioral and Financial Intentions in an Emerging Market (Albania)	2026; 2026; 2025
UT	Tea Tavanxhiu	3	confirmed		Affect (linguistics); Blueprint; Business; Emerging markets; Emerging technologies; Empirical evidence; Hospitality; Hospitality industry; Knowledge management; Marketing; Operationalization; Service provider; Sharing economy; Survey data collection; Technology acceptance model; Tourism	W7128440946; W7117989499; W4417026910	A Technological Blueprint for Smart and AI-Driven Hospitality in Emerging Tourism Markets: Evidence from Albania; Guest Acceptance of Smart and AI-Enabled Hotel Services in an Emerging Market: Evidence from Albania; Guest Acceptance of Smart and AI Technologies in Hospitality: Evidence from Behavioral and Financial Intentions in an Emerging Market (Albania)	2026; 2026; 2025
UT	Almina Doko	2	confirmed		Accounting; Acoustics; Audit; Business; Degree (music); Physics; Psychology	W4407604885; W4409274183	The Impact of AI and ML Tools on the Accounting and Auditing Profession: A Survey of Student Expectations; Empirical Study of the Degree of Knowledge of Standards and References in Financial Information - Case of Albania	2025; 2025
UT	Eliana Ibrahimi	2	confirmed		Artificial intelligence; Atherosclerotic cardiovascular disease; Bioinformatics; Classifier (UML); Computer science; Data mining; Disease; Domain (mathematical analysis); Feature (linguistics); Feature selection; Internal medicine; Interpretability; Machine learning; Medicine; Metabolomics; Pattern recognition (psychology); Random forest	W4414148337; W4404903329	Explainability in Microbiome-Based Models for CRC Prediction via Partial Dependence Plots; Integrating Metabolomics Domain Knowledge with Explainable Machine Learning in Atherosclerotic Cardiovascular Disease Classification	2025; 2024
UT	Inva Koçiaj	2	confirmed		Computer science; Context (archaeology); Curriculum; Digital economy; Digital literacy; Directive; European union; Law; Political science; Preparedness; Programming language; Public relations; Variety (cybernetics); Work (physics); Workforce	W7118576169; W4413420839	Awareness and attitudes toward digital work platforms among Albanian students; Regulation of Platform Work in the EU: A Comparative Analysis of the Draft Directive of 2021 and the Directive (EU) 2024/2831	2025; 2025
